player,season,team,overall,attack,defense,base_overall,podium_finish,era_boost,rating_source,photo
Júlio César da Silva,1986,Brazil,84,75,87,87,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/julio-cesar-da-silva.avif
Alemao,1986,Brazil,85,79,79,86,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/alemao.avif
Branco,1986,Brazil,85,80,73,86,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/branco.avif
Edinho,1986,Brazil,85,78,86,86,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/edinho.avif
Elzo,1986,Brazil,86,70,81,86,—,0.0,fivethirtyeight_zstats,
Müller,1986,Brazil,81,68,58,81,—,0.0,fivethirtyeight_zstats,
Josimar,1986,Brazil,79,70,58,79,—,0.0,fivethirtyeight_zstats,
Zico,1986,Brazil,93,88,59,79,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/zico.avif
Casagrande,1986,Brazil,76,62,52,76,—,0.0,fivethirtyeight_zstats,
Paulo Silas,1986,Brazil,75,60,53,75,—,0.0,fivethirtyeight_zstats,
Roberto Carlos,1986,Brazil,91,83,73,75,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/roberto-carlos.avif
Édson Boaro,1986,Brazil,75,63,54,75,—,0.0,fivethirtyeight_zstats,
Paulo Roberto Falcão,1986,Brazil,91,84,72,73,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/falcao-paulo-roberto.avif
Georgi Dimitrov,1986,Bulgaria,83,65,78,83,—,0.0,fivethirtyeight_zstats,
Nikolai Arabov,1986,Bulgaria,82,58,80,82,—,0.0,fivethirtyeight_zstats,
Anjo Sadkov,1986,Bulgaria,80,67,73,80,—,0.0,fivethirtyeight_zstats,
Radoslav Zdravkov,1986,Bulgaria,80,68,71,80,—,0.0,fivethirtyeight_zstats,
Nasko Sirakov,1986,Bulgaria,79,69,57,79,—,0.0,fivethirtyeight_zstats,
Petar Petrov,1986,Bulgaria,79,64,71,79,—,0.0,fivethirtyeight_zstats,
Plamen Getov,1986,Bulgaria,79,71,53,79,—,0.0,fivethirtyeight_zstats,
Jivko Gospodinov,1986,Bulgaria,77,65,58,77,—,0.0,fivethirtyeight_zstats,
Alexander Markov,1986,Bulgaria,76,61,63,76,—,0.0,fivethirtyeight_zstats,
Georgi Iordanov,1986,Bulgaria,76,63,57,76,—,0.0,fivethirtyeight_zstats,
Borislav Mihailov,1986,Bulgaria,75,10,75,75,—,0.0,fivethirtyeight_zstats,
Kostadin Kostadinov,1986,Bulgaria,74,62,50,74,—,0.0,fivethirtyeight_zstats,
Stoycho Mladenov,1986,Bulgaria,74,61,51,74,—,0.0,fivethirtyeight_zstats,
Andrey Yeliakov,1986,Bulgaria,73,58,54,73,—,0.0,fivethirtyeight_zstats,
Atanas Pachev,1986,Bulgaria,72,57,49,72,—,0.0,fivethirtyeight_zstats,
Bozidar Iskrenov,1986,Bulgaria,72,57,51,72,—,0.0,fivethirtyeight_zstats,
Plamen Markov,1986,Bulgaria,72,57,51,72,—,0.0,fivethirtyeight_zstats,
Boytcho Velitchkov,1986,Bulgaria,71,55,50,71,—,0.0,fivethirtyeight_zstats,
Ian Bridge,1986,Canada,86,63,83,86,—,0.0,fivethirtyeight_zstats,
Randy Samuel,1986,Canada,85,61,84,85,—,0.0,fivethirtyeight_zstats,
David Norman,1986,Canada,83,75,62,83,—,0.0,fivethirtyeight_zstats,
Robert Lenarduzzi,1986,Canada,83,75,66,83,—,0.0,fivethirtyeight_zstats,
Carl Valentine,1986,Canada,82,76,53,82,—,0.0,fivethirtyeight_zstats,
Bruce Wilson,1986,Canada,80,71,68,80,—,0.0,fivethirtyeight_zstats,
Paul James,1986,Canada,77,62,64,77,—,0.0,fivethirtyeight_zstats,
Randy Ragan,1986,Canada,77,62,63,77,—,0.0,fivethirtyeight_zstats,
Dale Mitchell,1986,Canada,76,61,56,76,—,0.0,fivethirtyeight_zstats,
Branko Segota,1986,Canada,75,61,52,75,—,0.0,fivethirtyeight_zstats,
Gerard Gray,1986,Canada,75,62,56,75,—,0.0,fivethirtyeight_zstats,
Igor Vrablic,1986,Canada,74,63,60,74,—,0.0,fivethirtyeight_zstats,
Mike Sweeney,1986,Canada,74,59,56,74,—,0.0,fivethirtyeight_zstats,
Tino Lettieri,1986,Canada,73,10,73,73,—,0.0,fivethirtyeight_zstats,
Paul Dolan,1986,Canada,72,10,72,72,—,0.0,fivethirtyeight_zstats,
James Lowery,1986,Canada,71,55,50,71,—,0.0,fivethirtyeight_zstats,
Preben Elkjaer-Larsen,1986,Denmark,86,85,67,93,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/elkjaer-larsen-preben.avif
Jesper Olsen,1986,Denmark,91,85,56,91,—,0.0,fivethirtyeight_zstats,
Michael Laudrup,1986,Denmark,88,87,61,88,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/laudrup-michael.avif
Morten Olsen,1986,Denmark,87,77,83,88,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/olsen-morten.avif
Sören Lerby,1986,Denmark,86,80,81,86,—,0.0,fivethirtyeight_zstats,
Sören Busk,1986,Denmark,85,61,83,85,—,0.0,fivethirtyeight_zstats,
Ivan Nielsen,1986,Denmark,84,60,84,84,—,0.0,fivethirtyeight_zstats,
Frank Arnesen,1986,Denmark,83,77,54,83,—,0.0,fivethirtyeight_zstats,
Henrik Andersen,1986,Denmark,80,67,77,80,—,0.0,fivethirtyeight_zstats,
Jens Jörn Bertelsen,1986,Denmark,76,63,58,76,—,0.0,fivethirtyeight_zstats,
Jan Molby,1986,Denmark,75,62,58,75,—,0.0,fivethirtyeight_zstats,
John Eriksen,1986,Denmark,75,58,51,75,—,0.0,fivethirtyeight_zstats,
Klaus Berggreen,1986,Denmark,75,62,58,75,—,0.0,fivethirtyeight_zstats,
John Sivebaek,1986,Denmark,74,58,58,74,—,0.0,fivethirtyeight_zstats,
Lars Hogh,1986,Denmark,72,58,50,72,—,0.0,fivethirtyeight_zstats,
Troels Rasmussen,1986,Denmark,72,10,72,72,—,0.0,fivethirtyeight_zstats,
Gary Lineker,1986,England,88,82,60,93,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/lineker-gary.avif
Glenn Hoddle,1986,England,87,84,62,88,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/hoddle-glenn.avif
Kenny Sansom,1986,England,84,74,77,85,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/sansom-kenny.avif
Terry Butcher,1986,England,85,68,82,85,—,0.0,fivethirtyeight_zstats,
Gary Stevens,1986,England,82,70,75,82,—,0.0,fivethirtyeight_zstats,
Peter Beardsley,1986,England,79,66,57,79,—,0.0,fivethirtyeight_zstats,
Terry Fenwick,1986,England,79,60,75,79,—,0.0,fivethirtyeight_zstats,
Chris Waddle,1986,England,86,84,59,78,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/waddle-chris.avif
Steve Hodge,1986,England,78,67,66,78,—,0.0,fivethirtyeight_zstats,
Mark Hateley,1986,England,76,60,57,76,—,0.0,fivethirtyeight_zstats,
Trevor Steven,1986,England,76,63,61,76,—,0.0,fivethirtyeight_zstats,
Bryan Robson,1986,England,87,80,81,75,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/robson-bryan.avif
Peter Shilton,1986,England,89,15,91,75,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/shilton-peter.avif
Ray Wilkins,1986,England,75,63,53,75,—,0.0,fivethirtyeight_zstats,
Alvin Martin,1986,England,74,55,59,74,—,0.0,fivethirtyeight_zstats,
Peter Reid,1986,England,74,60,55,74,—,0.0,fivethirtyeight_zstats,
Jean Tigana,1986,France,87,78,77,87,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/tigana-jean.avif
Manuel Amoros,1986,France,87,80,79,86,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/amoros-manuel.avif
Michel Platini,1986,France,94,89,59,86,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/platini-michel.avif
Maxime Bossis,1986,France,86,73,85,85,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/bossis-maxime.avif
Patrick Battiston,1986,France,85,75,80,85,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/battiston-patrick.avif
Jean-Pierre Papin,1986,France,87,87,66,84,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/papin-jean-pierre.avif
Yannik Stopyra,1986,France,83,72,60,83,3rd place,0.0,fivethirtyeight_zstats,
Alain Giresse,1986,France,87,83,68,82,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/giresse-alain.avif
Dominique Rocheteau,1986,France,86,85,65,78,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/rocheteau-dominique.avif
Luis Fernandez,1986,France,86,77,80,79,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/fernandez-luis.avif
Bruno Bellone,1986,France,77,65,52,77,3rd place,0.0,fivethirtyeight_zstats,
Jean-Marc Ferreri,1986,France,77,64,52,77,3rd place,0.0,fivethirtyeight_zstats,
Philippe Vercruysse,1986,France,76,62,54,76,3rd place,0.0,fivethirtyeight_zstats,
Bernard Genghini,1986,France,85,83,67,75,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/genghini-bernard.avif
Thierry Tusseau,1986,France,75,59,61,75,3rd place,0.0,fivethirtyeight_zstats,
Wiliam Ayache,1986,France,75,61,61,75,3rd place,0.0,fivethirtyeight_zstats,
Joel Bats,1986,France,86,14,87,74,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/bats-joel.avif
Michel Bibard,1986,France,72,57,53,72,3rd place,0.0,fivethirtyeight_zstats,
Yvon Le Roux,1986,France,72,56,52,72,3rd place,0.0,fivethirtyeight_zstats,
Albert Rust,1986,France,71,10,73,71,3rd place,0.0,fivethirtyeight_zstats,
József Kardos,1986,Hungary,89,72,86,89,—,0.0,fivethirtyeight_zstats,
Lajos Detari,1986,Hungary,86,80,50,86,—,0.0,fivethirtyeight_zstats,
Sándor Sallai,1986,Hungary,85,73,79,85,—,0.0,fivethirtyeight_zstats,
Imre Garaba,1986,Hungary,81,66,75,81,—,0.0,fivethirtyeight_zstats,
Antal Róth,1986,Hungary,79,61,71,79,—,0.0,fivethirtyeight_zstats,
Jozsef Kiprich,1986,Hungary,79,69,55,79,—,0.0,fivethirtyeight_zstats,
Márton Esterházy,1986,Hungary,79,71,54,79,—,0.0,fivethirtyeight_zstats,
Antal Nagy,1986,Hungary,78,60,70,78,—,0.0,fivethirtyeight_zstats,
Jozsef Varga,1986,Hungary,78,64,67,78,—,0.0,fivethirtyeight_zstats,
Gyorgy Bognar,1986,Hungary,76,65,54,76,—,0.0,fivethirtyeight_zstats,
Gyozo Burcsa,1986,Hungary,76,63,56,76,—,0.0,fivethirtyeight_zstats,
László Dajka,1986,Hungary,76,66,52,76,—,0.0,fivethirtyeight_zstats,
Kálmán Kovács,1986,Hungary,75,61,51,75,—,0.0,fivethirtyeight_zstats,
Zoltán Péter,1986,Hungary,75,63,53,75,—,0.0,fivethirtyeight_zstats,
Peter Disztl,1986,Hungary,73,10,73,73,—,0.0,fivethirtyeight_zstats,
József Nagy,1986,Hungary,72,59,49,72,—,0.0,fivethirtyeight_zstats,
Péter Hannich,1986,Hungary,72,56,49,72,—,0.0,fivethirtyeight_zstats,
József Szendrei,1986,Hungary,71,10,71,71,—,0.0,fivethirtyeight_zstats,
Nadhum Salim,1986,Iraq,84,66,84,84,—,0.0,fivethirtyeight_zstats,
Ghanim Al Roubai,1986,Iraq,83,72,75,83,—,0.0,fivethirtyeight_zstats,
Khalil Allawi,1986,Iraq,82,73,70,82,—,0.0,fivethirtyeight_zstats,
Ahmed Amaiesh,1986,Iraq,80,71,65,80,—,0.0,fivethirtyeight_zstats,
Shaker Mahmoud,1986,Iraq,79,61,73,79,—,0.0,fivethirtyeight_zstats,
Ali Shibab,1986,Iraq,78,65,64,78,—,0.0,fivethirtyeight_zstats,
Haris Hassan,1986,Iraq,77,68,51,77,—,0.0,fivethirtyeight_zstats,
Hussein Mohammed,1986,Iraq,76,62,50,76,—,0.0,fivethirtyeight_zstats,
Karim Minshid,1986,Iraq,76,60,60,76,—,0.0,fivethirtyeight_zstats,
Natiq Abidoun,1986,Iraq,74,60,57,74,—,0.0,fivethirtyeight_zstats,
Adbul Aufi,1986,Iraq,73,56,52,73,—,0.0,fivethirtyeight_zstats,
Anid Twaresh,1986,Iraq,73,57,53,73,—,0.0,fivethirtyeight_zstats,
Maad Ibrahim,1986,Iraq,73,56,56,73,—,0.0,fivethirtyeight_zstats,
Raad Salman,1986,Iraq,73,59,51,73,—,0.0,fivethirtyeight_zstats,
Abdul Jassim,1986,Iraq,72,56,50,72,—,0.0,fivethirtyeight_zstats,
Hanna Basil,1986,Iraq,72,58,55,72,—,0.0,fivethirtyeight_zstats,
Basim Kassim,1986,Iraq,71,56,54,71,—,0.0,fivethirtyeight_zstats,
Alessandro Altobelli,1986,Italy,87,85,62,94,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/altobelli-alessandro.avif
Fernando De Napoli,1986,Italy,88,83,68,88,—,0.0,fivethirtyeight_zstats,
Bruno Conti,1986,Italy,88,85,59,87,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/conti-bruno.avif
Gaetano Scirea,1986,Italy,92,80,86,84,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/scirea-gaetano.avif
Pietro Vierchowod,1986,Italy,88,73,90,84,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/vierchowod-pietro.avif
Antonio Cabrini,1986,Italy,88,80,79,81,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/cabrini-antonio.avif
Antonio Di Gennaro,1986,Italy,81,72,66,81,—,0.0,fivethirtyeight_zstats,
Salvatore Bagni,1986,Italy,85,79,85,80,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/bagni-salvatore.avif
Giuseppe Bergomi,1986,Italy,88,71,88,78,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/bergomi-giuseppe.avif
Giuseppe Galderisi,1986,Italy,78,72,58,78,—,0.0,fivethirtyeight_zstats,
Fulvio Collovati,1986,Italy,87,70,88,74,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/collovati-fulvio.avif
Gianluca Vialli,1986,Italy,87,84,68,74,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/vialli-gianluca.avif
Giovanni Galli,1986,Italy,85,14,88,74,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/galli-giovanni.avif
Giuseppe Baresi,1986,Italy,72,56,52,72,—,0.0,fivethirtyeight_zstats,
Fernando Quirarte Gutiérrez,1986,Mexico,88,66,86,88,—,0.0,fivethirtyeight_zstats,
Negrete,1986,Mexico,85,80,59,85,—,0.0,fivethirtyeight_zstats,
Hugo Sanchez,1986,Mexico,89,87,67,84,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/hugo-sanchez.avif
Raul Servin,1986,Mexico,83,75,73,83,—,0.0,fivethirtyeight_zstats,
Felix Cruz,1986,Mexico,80,61,74,80,—,0.0,fivethirtyeight_zstats,
Carlos Muñoz,1986,Mexico,78,63,67,78,—,0.0,fivethirtyeight_zstats,
Luis Flores,1986,Mexico,78,66,52,78,—,0.0,fivethirtyeight_zstats,
Tomás Boy,1986,Mexico,78,70,55,78,—,0.0,fivethirtyeight_zstats,
Javier Aguirre Onaindia,1986,Mexico,76,68,64,76,—,0.0,fivethirtyeight_zstats,
Carlos Alberto de los Cobos,1986,Mexico,75,60,59,75,—,0.0,fivethirtyeight_zstats,
Miguel Espana,1986,Mexico,75,62,62,75,—,0.0,fivethirtyeight_zstats,
Pablo Larios,1986,Mexico,74,10,74,74,—,0.0,fivethirtyeight_zstats,
Rafael Armador Flores,1986,Mexico,74,63,56,74,—,0.0,fivethirtyeight_zstats,
Francisco Javier Cruz,1986,Mexico,73,59,51,73,—,0.0,fivethirtyeight_zstats,
Mario Trejo,1986,Mexico,73,57,54,73,—,0.0,fivethirtyeight_zstats,
Mustafa El Biyaz,1986,Morocco,90,63,87,90,—,0.0,fivethirtyeight_zstats,
Abdelaziz Bouderbala,1986,Morocco,87,82,60,87,—,0.0,fivethirtyeight_zstats,
Noureddine Bouyahyaoui,1986,Morocco,87,63,84,87,—,0.0,fivethirtyeight_zstats,
Labid Khalifa,1986,Morocco,86,68,84,86,—,0.0,fivethirtyeight_zstats,
Abdelmajid Lamriss,1986,Morocco,85,74,80,85,—,0.0,fivethirtyeight_zstats,
Abdelkrim Merry,1986,Morocco,84,71,60,84,—,0.0,fivethirtyeight_zstats,
Abderrazak Khairi,1986,Morocco,83,71,74,83,—,0.0,fivethirtyeight_zstats,
Abdelmajid Dolmy,1986,Morocco,82,72,73,82,—,0.0,fivethirtyeight_zstats,
Mohammed Timoumi,1986,Morocco,82,75,56,82,—,0.0,fivethirtyeight_zstats,
Mustafa El Haddaoui,1986,Morocco,77,65,67,77,—,0.0,fivethirtyeight_zstats,
Ezzaiki Badou,1986,Morocco,76,64,52,76,—,0.0,fivethirtyeight_zstats,
Lahcen Ouadani,1986,Morocco,75,57,63,75,—,0.0,fivethirtyeight_zstats,
Mustafa Merry,1986,Morocco,73,58,54,73,—,0.0,fivethirtyeight_zstats,
John O'Neill,1986,Northern Ireland,86,61,85,86,—,0.0,fivethirtyeight_zstats,
Ian Stewart,1986,Northern Ireland,85,80,52,85,—,0.0,fivethirtyeight_zstats,
Colin John Clarke,1986,Northern Ireland,84,70,60,84,—,0.0,fivethirtyeight_zstats,
Malachy Martin Donaghy,1986,Northern Ireland,83,75,74,83,—,0.0,fivethirtyeight_zstats,
Samuel Baxter McIlroy,1986,Northern Ireland,81,72,60,81,—,0.0,fivethirtyeight_zstats,
Alan McDonald,1986,Northern Ireland,80,59,74,80,—,0.0,fivethirtyeight_zstats,
Billy Hamilton,1986,Northern Ireland,80,63,74,80,—,0.0,fivethirtyeight_zstats,
Norman Whiteside,1986,Northern Ireland,80,67,59,80,—,0.0,fivethirtyeight_zstats,
Steve Penney,1986,Northern Ireland,79,70,57,79,—,0.0,fivethirtyeight_zstats,
James Michael Nicholl,1986,Northern Ireland,78,67,63,78,—,0.0,fivethirtyeight_zstats,
David McCreery,1986,Northern Ireland,76,61,68,76,—,0.0,fivethirtyeight_zstats,
Nigel Worthington,1986,Northern Ireland,76,64,53,76,—,0.0,fivethirtyeight_zstats,
Patrick Jennings,1986,Northern Ireland,76,64,49,76,—,0.0,fivethirtyeight_zstats,
David Campbell,1986,Northern Ireland,73,58,50,73,—,0.0,fivethirtyeight_zstats,
Roberto Cabañas,1986,Paraguay,88,81,60,88,—,0.0,fivethirtyeight_zstats,
Rogelio Delgado,1986,Paraguay,87,64,84,87,—,0.0,fivethirtyeight_zstats,
Julio César Romero,1986,Paraguay,86,78,74,86,—,0.0,fivethirtyeight_zstats,
Adolfino Cañete,1986,Paraguay,83,78,64,83,—,0.0,fivethirtyeight_zstats,
Jorge Amado Nunes,1986,Paraguay,83,75,66,83,—,0.0,fivethirtyeight_zstats,
Alfredo Mendoza,1986,Paraguay,82,73,60,82,—,0.0,fivethirtyeight_zstats,
César Zabala,1986,Paraguay,82,66,77,82,—,0.0,fivethirtyeight_zstats,
Buenaventura Ferreira,1986,Paraguay,81,74,72,81,—,0.0,fivethirtyeight_zstats,
Juan Torales,1986,Paraguay,79,60,70,79,—,0.0,fivethirtyeight_zstats,
Jorge Guasch,1986,Paraguay,77,60,65,77,—,0.0,fivethirtyeight_zstats,
Roberto Fernández,1986,Paraguay,76,10,76,76,—,0.0,fivethirtyeight_zstats,
Vladimiro Schettina,1986,Paraguay,75,64,64,75,—,0.0,fivethirtyeight_zstats,
Ramón Hicks,1986,Paraguay,72,55,51,72,—,0.0,fivethirtyeight_zstats,
Wlodzimierz Smolarek,1986,Poland,87,83,55,87,—,0.0,fivethirtyeight_zstats,
Zbigniew Boniek,1986,Poland,87,87,68,86,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/boniek-zbigniew.avif
Marek Ostrowski,1986,Poland,84,74,73,84,—,0.0,fivethirtyeight_zstats,
Dariusz Dziekanowski,1986,Poland,82,75,68,82,—,0.0,fivethirtyeight_zstats,
Jan Urban,1986,Poland,82,74,67,82,—,0.0,fivethirtyeight_zstats,
Ryszard Komornicki,1986,Poland,82,73,60,82,—,0.0,fivethirtyeight_zstats,
Roman Wójcicki,1986,Poland,80,62,73,80,—,0.0,fivethirtyeight_zstats,
Stefan Majewski,1986,Poland,79,62,73,79,—,0.0,fivethirtyeight_zstats,
Waldemar Matysik,1986,Poland,79,60,71,79,—,0.0,fivethirtyeight_zstats,
Krzysztof Pawlak,1986,Poland,78,66,58,78,—,0.0,fivethirtyeight_zstats,
Jozef Mlynarzyk,1986,Poland,77,10,77,77,—,0.0,fivethirtyeight_zstats,
Andrzej Buncol,1986,Poland,76,65,49,76,—,0.0,fivethirtyeight_zstats,
Jan Karas,1986,Poland,75,65,55,75,—,0.0,fivethirtyeight_zstats,
Kazimierz Przybys,1986,Poland,73,57,55,73,—,0.0,fivethirtyeight_zstats,
Dariusz Kubicki,1986,Poland,72,56,51,72,—,0.0,fivethirtyeight_zstats,
Ryszard Tarasiewicz,1986,Poland,72,58,51,72,—,0.0,fivethirtyeight_zstats,
Jan Furtok,1986,Poland,71,54,49,71,—,0.0,fivethirtyeight_zstats,
Carlos Manuel,1986,Portugal,90,88,60,90,—,0.0,fivethirtyeight_zstats,
Jaime Pacheco,1986,Portugal,86,78,65,86,—,0.0,fivethirtyeight_zstats,
António Oliveira,1986,Portugal,85,59,83,85,—,0.0,fivethirtyeight_zstats,
Frederico,1986,Portugal,84,59,82,84,—,0.0,fivethirtyeight_zstats,
António Sousa,1986,Portugal,81,75,57,81,—,0.0,fivethirtyeight_zstats,
Diamantino,1986,Portugal,81,73,57,81,—,0.0,fivethirtyeight_zstats,
Paulo Futre,1986,Portugal,86,85,59,79,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/futre-paulo.avif
Álvaro,1986,Portugal,79,65,71,79,—,0.0,fivethirtyeight_zstats,
Fernando Gomes,1986,Portugal,78,64,58,78,—,0.0,fivethirtyeight_zstats,
Magalháes,1986,Portugal,78,70,58,78,—,0.0,fivethirtyeight_zstats,
António André,1986,Portugal,75,59,60,75,—,0.0,fivethirtyeight_zstats,
Augusto Inácio,1986,Portugal,75,63,55,75,—,0.0,fivethirtyeight_zstats,
Rui Aguas,1986,Portugal,73,56,52,73,—,0.0,fivethirtyeight_zstats,
Vitor Damas,1986,Portugal,72,10,72,72,—,0.0,fivethirtyeight_zstats,
Manuel Bento,1986,Portugal,86,14,88,71,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/bento-manuel.avif
Gordon Strachan,1986,Scotland,85,84,67,88,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/strachan-gordon.avif
Richard Gough,1986,Scotland,87,76,75,87,—,0.0,fivethirtyeight_zstats,
Willie Miller,1986,Scotland,84,72,87,83,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/miller-willie.avif
Steve Nicol,1986,Scotland,81,73,57,81,—,0.0,fivethirtyeight_zstats,
Graeme Souness,1986,Scotland,88,79,81,79,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/souness-graeme.avif
Maurice Malpas,1986,Scotland,79,67,67,79,—,0.0,fivethirtyeight_zstats,
Charlie Nicholas,1986,Scotland,78,64,51,78,—,0.0,fivethirtyeight_zstats,
Paul Sturrock,1986,Scotland,78,68,52,78,—,0.0,fivethirtyeight_zstats,
Roy Aitken,1986,Scotland,78,72,68,78,—,0.0,fivethirtyeight_zstats,
Arthur Albiston,1986,Scotland,76,62,61,76,—,0.0,fivethirtyeight_zstats,
David Narey,1986,Scotland,76,59,66,76,—,0.0,fivethirtyeight_zstats,
Davie Cooper,1986,Scotland,75,61,51,75,—,0.0,fivethirtyeight_zstats,
Eamonn Bannon,1986,Scotland,75,61,53,75,—,0.0,fivethirtyeight_zstats,
Graeme Sharp,1986,Scotland,75,59,51,75,—,0.0,fivethirtyeight_zstats,
Paul McStay,1986,Scotland,75,63,60,75,—,0.0,fivethirtyeight_zstats,
Alex McLeish,1986,Scotland,74,57,58,74,—,0.0,fivethirtyeight_zstats,
Frank McAvennie,1986,Scotland,74,58,51,74,—,0.0,fivethirtyeight_zstats,
Jim Leighton,1986,Scotland,84,14,87,74,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/leighton-jim.avif
Steve Archibald,1986,Scotland,71,56,49,71,—,0.0,fivethirtyeight_zstats,
Soon-Ho Choi,1986,South Korea,85,73,58,85,—,0.0,fivethirtyeight_zstats,
Bum-Kun Cha,1986,South Korea,85,84,67,84,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/cha-bum-kun.avif
Chang-Sun Park,1986,South Korea,83,74,56,83,—,0.0,fivethirtyeight_zstats,
Chung Yong-Hwan,1986,South Korea,83,65,79,83,—,0.0,fivethirtyeight_zstats,
Kwang-Rae Cho,1986,South Korea,82,75,64,82,—,0.0,fivethirtyeight_zstats,
Byung Ho Byun,1986,South Korea,81,69,69,81,—,0.0,fivethirtyeight_zstats,
Jung-Moo Huh,1986,South Korea,80,75,63,80,—,0.0,fivethirtyeight_zstats,
Kyung-Hoon Park,1986,South Korea,79,66,76,79,—,0.0,fivethirtyeight_zstats,
Joo-Sung Kim,1986,South Korea,78,71,54,78,—,0.0,fivethirtyeight_zstats,
Young-Jeung Cho,1986,South Korea,78,58,70,78,—,0.0,fivethirtyeight_zstats,
Jong-Boo Kim,1986,South Korea,77,63,49,77,—,0.0,fivethirtyeight_zstats,
Min-Kook Cho,1986,South Korea,77,57,68,77,—,0.0,fivethirtyeight_zstats,
Yun-Kyo Ho,1986,South Korea,75,62,51,75,—,0.0,fivethirtyeight_zstats,
Jong Soon Chung,1986,South Korea,72,57,53,72,—,0.0,fivethirtyeight_zstats,
Soo-Jin Noh,1986,South Korea,72,57,51,72,—,0.0,fivethirtyeight_zstats,
Yong-Se Kim,1986,South Korea,72,56,52,72,—,0.0,fivethirtyeight_zstats,
Emilio Butragueno,1986,Spain,88,86,63,92,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/butragueno-emilio.avif
Michel,1986,Spain,86,84,69,85,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/michel.avif
Ramón Calderé,1986,Spain,85,73,54,85,—,0.0,fivethirtyeight_zstats,
Ricardo Gallego,1986,Spain,85,80,72,83,—,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/gallego-ricardo.avif
Jose Antonio Camacho,1986,Spain,82,68,75,82,—,0.0,fivethirtyeight_zstats,
Munoz Manrique Victor,1986,Spain,82,74,65,82,—,0.0,fivethirtyeight_zstats,
