year,host_country,team,finish,difficulty,description_en,description_es,description_pt
2018,Russia,Croatia,Runner-up,5,Modrić's midfield masterclass and three straight extra-time wins carried a tiny nation to the final.,La clase magistral de Modrić y tres prórrogas ganadas seguidas llevaron a una pequeña nación hasta la final.,A aula de Modrić e três prorrogações vencidas seguidas levaram uma pequena nação até a final.
2018,Russia,France,Champion,5,"Young, fast and lethal: Mbappé exploded onto the scene as a balanced France lifted a second star.","Jóvenes, rápidos y letales: Mbappé irrumpió en escena mientras una Francia equilibrada levantaba su segunda estrella.","Jovens, rápidos e letais: Mbappé explodiu em cena enquanto uma França equilibrada erguia a segunda estrela."
2018,Russia,Belgium,3rd place,4,"The Golden Generation—De Bruyne, Hazard, Lukaku—played the tournament's best football to a proud third.","La Generación Dorada —De Bruyne, Hazard, Lukaku— jugó el mejor fútbol del torneo hasta un orgulloso tercer puesto.","A Geração de Ouro — De Bruyne, Hazard, Lukaku — jogou o melhor futebol do torneio até um orgulhoso terceiro lugar."
2018,Russia,England,4th place,4,Southgate's young side and 'It's Coming Home' ended a long wait by reaching the semifinals; fourth.,El joven equipo de Southgate y el 'It's Coming Home' rompieron una larga espera llegando a semifinales; cuartos.,O jovem time de Southgate e o 'It's Coming Home' romperam uma longa espera chegando às semifinais; quartos.
2018,Russia,Brazil,Quarterfinals,3,"Neymar's theatrics and a talented Seleção flattered to deceive, knocked out by Belgium in the quarters.","Las teatralidades de Neymar y una talentosa Seleção prometieron más de lo que dieron, fuera ante Bélgica en cuartos.","As teatralidades de Neymar e uma talentosa Seleção prometeram mais do que entregaram, fora para a Bélgica nas quartas."
2018,Russia,Russia,Quarterfinals,3,"Unfancied hosts who caught fire, knocking out Spain on penalties and roaring into the quarterfinals.","Anfitriones sin pronóstico que se encendieron, eliminando a España por penales y metiéndose en cuartos.","Anfitriões sem favoritismo que pegaram fogo, eliminando a Espanha nos pênaltis e indo às quartas."
2018,Russia,Japan,Round of 16,2,The Blue Samurai led Belgium 2-0 in the last 16 before an agonising late collapse; admired by all.,Los Samuráis Azules ganaban 2-0 a Bélgica en octavos antes de un desgarrador derrumbe final; admirados por todos.,Os Samurais Azuis venciam a Bélgica por 2 a 0 nas oitavas antes de um desabamento agonizante; admirados por todos.
2018,Russia,Mexico,Round of 16,2,El Tri stunned defending champions Germany in a famous opener before the usual last-16 exit.,El Tri sorprendió a la campeona Alemania en un recordado debut antes de la habitual eliminación en octavos.,O Tri surpreendeu a campeã Alemanha numa estreia memorável antes da habitual eliminação nas oitavas.
2022,Qatar,Argentina,Champion,5,"Messi's crowning glory. Drama, penalties and a 3-3 final classic delivered the third star at last.","La consagración de Messi. Drama, penales y una final clásica 3-3 trajeron por fin la tercera estrella.","A consagração de Messi. Drama, pênaltis e uma final clássica de 3 a 3 trouxeram enfim a terceira estrela."
2022,Qatar,France,Runner-up,5,Mbappé's final hat-trick nearly stole it; the defending champions fell only on penalties.,El triplete de Mbappé en la final casi lo roba; los campeones defensores cayeron solo por penales.,O hat-trick de Mbappé na final quase roubou tudo; os campeões caíram só nos pênaltis.
2022,Qatar,Croatia,3rd place,4,"Modrić and the relentless Croatians did it again, grinding through shootouts to another medal, this time third.","Modrić y los incansables croatas lo hicieron otra vez, sobreviviendo penales hasta otra medalla, esta vez el tercero.","Modrić e os incansáveis croatas fizeram de novo, sobrevivendo a pênaltis até outra medalha, desta vez o terceiro."
2022,Qatar,Morocco,4th place,4,"History-makers: the first African and Arab side to reach a World Cup semifinal, with a wall-like defence.","Hicieron historia: el primer equipo africano y árabe en alcanzar una semifinal mundialista, con una defensa de muro.","Fizeram história: a primeira seleção africana e árabe a alcançar uma semifinal de Copa, com uma defesa de muralha."
2022,Qatar,Brazil,Quarterfinals,3,Samba flair and Richarlison's wonder goals dazzled until a shock penalty exit to Croatia in the quarters.,El brillo del samba y los golazos de Richarlison deslumbraron hasta una sorpresiva caída por penales ante Croacia en cuartos.,O brilho do samba e os golaços de Richarlison encantaram até uma surpreendente queda nos pênaltis para a Croácia nas quartas.
2022,Qatar,Netherlands,Quarterfinals,3,Van Gaal's organised Oranje pushed Argentina to a fiery shootout in the quarterfinals.,La ordenada Oranje de Van Gaal llevó a Argentina a una caliente tanda de penales en cuartos.,A organizada Oranje de Van Gaal levou a Argentina a uma quente disputa de pênaltis nas quartas.
2022,Qatar,Portugal,Quarterfinals,3,Ronaldo's final World Cup turned into the Gonçalo Ramos show—a hat-trick off the bench—before Morocco ended the ride in the quarters.,El último Mundial de Ronaldo se transformó en el show de Gonçalo Ramos —triplete entrando desde el banco— hasta que Marruecos cortó el sueño en cuartos.,A última Copa de Ronaldo virou o show de Gonçalo Ramos — hat-trick saindo do banco — até Marrocos encerrar a caminhada nas quartas.
2022,Qatar,Australia,Round of 16,2,"The battling Socceroos defied expectations, escaping the group before bowing out to Argentina in the last 16.","Los aguerridos Socceroos desafiaron los pronósticos, superando el grupo antes de caer ante Argentina en octavos.","Os aguerridos Socceroos desafiaram os prognósticos, passando do grupo antes de cair para a Argentina nas oitavas."
2022,Qatar,Japan,Round of 16,2,Giant-killers: the Blue Samurai beat both Germany and Spain to win their group before a penalty exit.,Mataculebras: los Samuráis Azules vencieron a Alemania y a España para ganar su grupo antes de caer por penales.,Matadores de gigantes: os Samurais Azuis bateram Alemanha e Espanha para vencer o grupo antes de caírem nos pênaltis.
2022,Qatar,South Korea,Round of 16,2,Never-say-die Koreans snatched a stoppage-time winner against Portugal to crash into the last 16 before bowing out to Brazil.,Unos coreanos que nunca se rinden arrancaron un gol agónico ante Portugal para meterse en octavos antes de caer ante Brasil.,Coreanos que nunca desistem arrancaram um gol nos acréscimos contra Portugal para entrar nas oitavas antes de cair diante do Brasil.
